date,temp_max_c,temp_min_c,humidity_pct,rainfall_mm,wind_kph
2025-01-01,8.0,1.7,83.4,0.0,7.8
2025-01-02,7.1,-1.2,79.8,11.7,18.5
2025-01-03,3.4,-3.5,85.9,0.0,22.6
2025-01-04,6.7,-2.3,86.9,0.0,14.9
2025-01-05,3.9,-1.8,90.1,0.0,10.3
2025-01-06,9.9,0.6,87.1,0.0,14.6
2025-01-07,6.8,1.0,86.0,13.8,22.7
2025-01-08,9.1,0.8,79.8,0.0,23.9
2025-01-09,7.0,0.7,89.3,0.0,16.7
2025-01-10,10.1,0.7,78.3,0.0,7.0
2025-01-11,2.2,-2.1,92.5,3.2,14.1
2025-01-12,4.6,-4.6,81.7,0.0,15.3
2025-01-13,5.1,-3.8,71.1,0.0,17.0
2025-01-14,7.3,0.6,72.9,0.0,18.6
2025-01-15,3.8,-5.7,85.7,12.9,28.0
2025-01-16,6.8,2.3,71.0,0.0,28.6
2025-01-17,8.6,-0.5,80.4,0.0,22.8
2025-01-18,10.5,3.7,,4.6,17.3
2025-01-19,10.3,2.3,75.1,0.0,25.9
2025-01-20,5.4,-0.7,88.6,4.0,18.7
2025-01-21,10.1,4.6,82.2,0.0,5.9
2025-01-22,8.1,-0.1,76.7,0.0,11.2
2025-01-23,5.5,-0.1,80.1,0.0,21.6
2025-01-24,7.9,0.5,86.9,0.0,19.2
2025-01-25,5.5,0.5,84.2,0.0,16.2
2025-01-26,11.5,4.0,81.6,0.0,9.8
2025-01-27,7.1,1.3,81.7,0.0,21.8
2025-01-28,9.8,4.1,82.3,0.0,24.7
2025-01-29,9.8,4.7,72.7,0.0,20.5
2025-01-30,9.1,4.8,80.1,0.0,17.6
2025-01-31,7.8,3.7,75.2,0.0,19.7
2025-02-01,3.8,-2.6,86.5,0.0,21.2
2025-02-02,11.4,3.6,88.5,0.0,28.9
2025-02-03,9.9,1.4,78.2,0.0,16.7
2025-02-04,6.1,0.5,85.9,0.8,21.1
2025-02-05,10.5,3.3,72.1,0.0,29.3
2025-02-06,11.5,3.1,80.9,0.4,13.6
2025-02-07,11.7,2.9,81.1,0.0,13.7
2025-02-08,13.3,5.2,83.9,9.2,15.4
2025-02-09,10.9,2.1,92.4,0.0,12.1
2025-02-10,12.3,7.4,77.2,1.1,12.3
2025-02-11,11.1,6.0,76.2,0.1,22.5
2025-02-12,7.8,2.6,84.3,2.1,21.6
2025-02-13,10.3,1.2,81.0,0.7,20.1
2025-02-14,4.0,-1.1,86.6,0.0,16.8
2025-02-15,7.4,2.8,77.3,0.0,13.6
2025-02-16,5.4,0.4,80.5,5.9,20.4
2025-02-17,11.5,3.9,81.5,0.0,19.2
2025-02-18,9.8,3.9,76.1,0.0,25.1
2025-02-19,7.6,-0.2,89.9,7.8,15.6
2025-02-20,10.2,1.0,87.9,5.2,32.6
2025-02-21,9.8,1.9,82.8,0.0,16.4
2025-02-22,8.9,2.4,77.3,6.0,20.6
2025-02-23,10.8,4.9,77.4,0.0,10.7
2025-02-24,10.2,0.8,85.2,0.0,17.8
2025-02-25,10.8,2.8,79.1,0.0,5.8
2025-02-26,10.2,2.7,84.0,0.0,15.2
2025-02-27,8.4,1.8,81.4,0.0,12.8
2025-02-28,7.2,-1.5,84.9,n/a,27.4
2025-03-01,11.3,2.5,81.7,2.8,18.1
2025-03-02,9.1,4.1,78.6,0.0,28.4
2025-03-03,11.6,7.5,68.1,0.0,22.1
2025-03-04,9.1,1.6,76.2,0.0,19.0
2025-03-05,12.0,7.1,82.1,1.7,3.4
2025-03-06,11.7,4.6,81.1,12.5,33.6
2025-03-07,7.7,1.2,90.1,9.4,17.0
2025-03-08,8.2,3.1,85.8,0.0,18.8
2025-03-09,11.0,6.0,85.8,0.0,24.8
2025-03-10,9.8,3.4,81.6,4.7,16.4
2025-03-11,10.5,2.0,88.1,3.2,18.4
2025-03-12,12.1,4.7,81.2,0.0,8.5
2025-03-13,13.5,6.4,76.2,6.3,20.6
2025-03-14,13.5,8.8,79.4,0.0,16.3
2025-03-15,7.6,2.2,89.5,3.5,9.1
2025-03-16,14.1,5.5,77.8,0.0,14.1
2025-03-17,16.2,7.4,85.6,0.0,31.5
2025-03-18,15.9,9.1,80.9,0.0,13.0
2025-03-19,11.1,5.1,82.4,0.0,20.8
2025-03-20,14.2,9.6,87.6,0.0,25.7
2025-03-21,9.6,5.0,75.3,11.4,12.3
2025-03-22,17.7,8.4,69.3,9.1,18.9
2025-03-23,11.5,4.5,73.0,0.0,14.5
2025-03-24,11.3,6.8,94.3,0.0,5.4
2025-03-25,12.7,7.6,75.9,1.2,13.0
2025-03-26,11.2,3.4,85.3,0.0,13.8
2025-03-27,15.2,5.8,80.0,9.6,17.9
2025-03-28,13.2,5.1,88.6,0.0,17.3
2025-03-29,10.3,5.1,84.8,1.3,11.8
2025-03-30,11.6,3.4,83.1,0.0,7.8
2025-03-31,14.5,6.5,77.1,0.0,13.3
2025-04-01,15.9,7.5,71.1,6.7,20.8
2025-04-02,17.8,9.3,76.1,0.0,16.8
2025-04-03,10.7,6.5,66.8,7.8,18.9
2025-04-04,16.0,9.5,71.7,20.3,15.5
2025-04-05,19.8,11.1,65.1,0.5,16.6
2025-04-06,14.7,5.5,77.8,0.0,10.4
2025-04-07,15.2,9.3,72.3,0.0,15.2
2025-04-08,15.3,8.1,73.9,0.0,23.7
2025-04-09,16.8,9.6,75.1,12.2,19.8
2025-04-10,18.9,10.9,82.9,0.0,21.5
2025-04-11,17.2,11.8,55.9,0.0,11.0
2025-04-12,17.3,10.4,69.1,2.2,10.0
2025-04-13,12.4,7.6,82.8,8.6,17.6
2025-04-14,-999,10.6,73.6,0.0,17.9
2025-04-15,15.1,11.0,63.9,9.4,7.5
2025-04-16,16.0,8.5,72.0,1.5,25.7
2025-04-17,17.5,10.7,75.4,0.0,8.9
2025-04-18,21.0,15.1,79.9,0.0,10.9
2025-04-19,17.5,10.4,83.5,14.7,16.1
2025-04-20,19.1,14.0,70.1,2.0,16.6
2025-04-21,15.5,10.5,79.8,0.0,16.8
2025-04-22,20.3,12.4,73.1,0.0,8.5
2025-04-23,18.7,10.7,81.6,0.5,15.6
2025-04-24,19.0,12.7,70.4,0.3,10.1
2025-04-25,14.1,9.2,79.6,0.0,18.0
2025-04-26,12.4,6.5,82.7,0.0,13.0
2025-04-27,15.1,10.7,86.8,0.0,24.1
2025-04-28,19.1,12.7,75.9,0.0,17.3
2025-04-29,19.5,14.2,63.5,0.0,17.8
2025-04-30,19.9,10.9,66.1,0.0,21.3
2025-05-01,19.3,12.4,70.0,0.0,26.6
2025-05-02,18.6,13.7,73.0,0.0,20.3
2025-05-03,19.6,12.3,72.8,0.0,12.8
2025-05-04,21.2,14.3,83.6,0.0,27.5
2025-05-05,20.2,11.1,68.7,0.0,16.2
2025-05-06,23.1,14.8,70.7,0.0,7.9
2025-05-07,21.2,14.8,73.5,0.0,13.6
2025-05-08,17.8,9.7,71.5,0.0,9.4
2025-05-09,19.0,12.6,84.0,1.4,19.8
2025-05-10,20.4,11.1,64.0,2.8,22.7
2025-05-11,19.0,12.8,68.9,0.0,29.3
2025-05-12,19.7,10.3,75.3,0.0,5.9
2025-05-13,20.2,12.7,73.0,0.0,8.2
2025-05-14,20.2,12.6,76.7,0.0,19.2
2025-05-15,25.9,16.8,70.9,1.1,20.5
2025-05-16,20.5,12.5,83.9,1.3,23.7
2025-05-17,21.8,14.3,61.3,10.3,22.9
2025-05-18,19.7,15.4,75.1,0.0,21.9
2025-05-19,16.6,8.6,76.2,0.0,12.2
2025-05-20,21.7,15.5,75.3,0.0,17.9
2025-05-21,20.3,15.0,79.7,7.6,
2025-05-22,18.2,13.9,79.3,1.3,19.0
2025-05-23,27.9,19.4,67.8,2.4,10.0
2025-05-24,17.7,10.5,74.0,0.0,17.3
2025-05-25,18.9,14.8,77.1,0.0,28.0
2025-05-26,18.0,12.5,73.1,2.4,25.0
2025-05-27,23.3,18.9,60.7,3.7,17.8
2025-05-28,26.4,20.8,59.6,0.0,16.9
2025-05-29,18.7,12.5,76.1,0.0,15.4
2025-05-30,24.0,15.2,71.5,1.5,10.8
2025-05-31,19.1,11.7,68.3,0.0,18.9
2025-06-01,25.2,18.2,61.7,0.0,11.9
2025-06-02,22.3,14.4,66.8,0.0,11.7
2025-06-03,21.6,16.5,72.0,0.0,11.3
2025-06-04,21.5,15.5,71.6,0.0,7.8
2025-06-05,21.6,15.3,70.2,8.3,17.3
2025-06-06,23.7,19.7,78.9,0.0,10.7
2025-06-07,20.6,12.4,73.1,0.0,12.3
2025-06-08,20.5,16.0,71.5,0.0,18.5
2025-06-09,20.1,12.8,75.1,0.3,25.0
2025-06-10,20.4,13.3,75.2,0.0,17.7
2025-06-11,22.6,16.9,75.9,6.1,14.3
2025-06-12,21.9,17.8,80.7,0.0,20.5
2025-06-13,20.3,15.2,64.4,5.4,20.9
2025-06-14,19.4,15.4,71.7,0.0,5.8
2025-06-15,26.3,16.9,71.8,0.0,12.4
2025-06-16,21.7,15.3,72.9,0.0,14.3
2025-06-17,23.8,19.5,62.7,9.4,3.9
2025-06-18,20.8,16.1,64.3,2.6,19.3
2025-06-19,21.4,16.0,62.3,0.0,14.0
2025-06-20,22.6,17.0,63.6,0.3,10.4
2025-06-21,23.3,16.6,69.9,0.0,14.4
2025-06-22,23.0,15.9,72.1,1.1,14.0
2025-06-23,20.9,14.9,69.4,0.0,7.6
2025-06-24,14.8,9.4,68.5,0.4,12.4
2025-06-25,19.3,12.4,63.0,1.5,15.9
2025-06-26,17.3,10.9,70.0,0.0,20.1
2025-06-27,27.3,19.7,76.0,16.3,16.2
2025-06-28,18.8,11.4,76.9,0.0,21.9
2025-06-29,20.2,12.2,70.9,0.0,15.7
2025-06-30,24.8,18.1,61.5,0.8,19.5
2025-07-01,24.8,20.2,68.1,0.4,28.3
2025-07-02,25.8,16.7,74.0,0.0,16.1
2025-07-03,20.0,11.2,71.5,6.3,16.8
2025-07-04,21.4,12.8,64.4,0.0,21.4
2025-07-05,21.6,16.5,66.8,0.0,11.9
2025-07-06,23.7,14.9,63.9,1.6,18.9
2025-07-07,21.3,16.0,70.8,1.3,14.7
2025-07-08,23.1,17.4,82.1,0.0,12.5
2025-07-09,21.4,12.4,75.2,4.2,15.2
2025-07-10,24.2,17.0,64.1,0.0,18.0
2025-07-11,24.8,17.6,67.6,0.0,22.3
2025-07-12,20.0,11.0,65.1,3.5,18.3
