date,month,temp_mean_c,temp_range_c,dew_point_c,feels_like_c,rolling_mean_c,is_rain_day,is_frost_day
2025-01-01,2025-01,4.85,6.3,2.28,1.71,2.49,0,0
2025-01-02,2025-01,2.95,8.3,-0.19,-2.66,2.2,1,1
2025-01-03,2025-01,-0.05,6.9,-2.12,-6.72,2.71,0,1
2025-01-04,2025-01,2.2,9.0,0.25,-2.65,2.88,0,1
2025-01-05,2025-01,1.05,5.7,-0.39,-2.99,2.89,0,1
2025-01-06,2025-01,5.25,9.3,3.28,0.96,3.02,0,0
2025-01-07,2025-01,3.9,5.8,1.77,-2.22,3.8,1,0
2025-01-08,2025-01,4.95,8.3,1.76,-1.41,3.49,0,0
2025-01-09,2025-01,3.85,6.3,2.25,-1.03,3.34,0,0
2025-01-10,2025-01,5.4,9.4,1.93,2.35,2.69,0,0
2025-01-11,2025-01,0.05,4.3,-1.02,-4.82,2.69,1,1
2025-01-12,2025-01,0.0,9.2,-2.75,-5.33,1.85,0,1
2025-01-13,2025-01,0.65,8.9,-3.98,-5.15,1.95,0,1
2025-01-14,2025-01,3.95,6.7,-0.46,-1.72,1.76,0,0
2025-01-15,2025-01,-0.95,9.5,-3.04,-8.78,2.65,1,1
2025-01-16,2025-01,4.55,4.5,-0.25,-3.03,2.99,0,0
2025-01-17,2025-01,4.05,9.1,0.98,-2.22,3.94,0,1
2025-01-19,2025-01,6.3,8.0,2.22,-0.37,3.95,0,0
2025-01-20,2025-01,2.35,6.1,0.66,-3.17,4.47,1,1
2025-01-21,2025-01,7.35,5.5,4.52,4.98,4.42,0,0
2025-01-22,2025-01,4.0,8.2,0.28,-0.12,4.27,0,1
2025-01-23,2025-01,2.7,5.6,-0.38,-3.54,4.48,0,1
2025-01-24,2025-01,4.2,7.4,2.21,-1.17,4.74,0,0
2025-01-25,2025-01,3.0,5.0,0.6,-2.05,4.69,0,0
2025-01-26,2025-01,7.75,7.5,4.8,4.68,5.15,0,0
2025-01-27,2025-01,4.2,5.8,1.35,-1.82,5.76,0,0
2025-01-28,2025-01,6.95,5.7,4.14,0.86,5.98,0,0
2025-01-29,2025-01,7.25,5.1,2.68,1.71,5.64,0,0
2025-01-30,2025-01,6.95,4.3,3.76,2.16,5.6,0,0
2025-01-31,2025-01,5.75,4.1,1.7,0.2,5.81,0,0
2025-02-01,2025-02,0.6,6.4,-1.39,-5.7,5.29,0,1
2025-02-02,2025-02,7.5,7.8,5.72,0.9,5.24,0,0
2025-02-03,2025-02,5.65,8.5,2.15,0.76,5.29,0,0
2025-02-04,2025-02,3.3,5.6,1.17,-2.61,5.51,1,0
2025-02-05,2025-02,6.9,7.2,2.22,-0.43,6.74,0,0
2025-02-06,2025-02,7.3,8.4,4.24,3.38,6.6,1,0
2025-02-07,2025-02,7.3,8.8,4.27,3.37,7.2,0,0
2025-02-08,2025-02,9.25,8.1,6.67,5.48,7.95,1,0
2025-02-09,2025-02,6.5,8.8,5.36,3.1,7.71,0,0
2025-02-10,2025-02,9.85,4.9,6.05,6.55,7.49,1,0
2025-02-11,2025-02,8.55,5.1,4.6,2.97,6.65,0,0
2025-02-12,2025-02,5.2,5.2,2.77,-0.54,6.06,1,0
2025-02-13,2025-02,5.75,9.1,2.75,0.3,5.54,1,0
2025-02-14,2025-02,1.45,5.1,-0.54,-3.88,5.24,0,1
2025-02-15,2025-02,5.1,4.6,1.46,0.69,4.99,0,0
2025-02-16,2025-02,2.9,5.0,-0.12,-3.07,4.78,1,0
2025-02-17,2025-02,7.7,7.6,4.74,2.79,4.76,0,0
2025-02-18,2025-02,6.85,5.9,2.93,0.46,5.39,0,0
2025-02-19,2025-02,3.7,7.8,2.2,-0.97,5.46,1,1
2025-02-20,2025-02,5.6,9.2,3.75,-2.1,6.17,1,0
2025-02-21,2025-02,5.85,7.9,3.15,1.19,5.86,0,0
2025-02-22,2025-02,5.65,6.5,1.99,-0.03,5.85,1,0
2025-02-23,2025-02,7.85,5.9,4.14,4.48,6.24,0,0
2025-02-24,2025-02,5.5,9.4,3.21,0.58,6.17,0,0
2025-02-25,2025-02,6.8,8.0,3.43,4.25,6.32,0,0
2025-02-26,2025-02,6.45,7.5,3.94,2.17,6.46,0,0
2025-02-27,2025-02,5.1,6.6,2.18,0.97,6.7,0,0
2025-03-01,2025-03,6.9,8.8,3.99,2.06,6.68,1,0
2025-03-02,2025-03,6.6,5.0,3.15,-0.4,7.07,0,0
2025-03-03,2025-03,9.55,4.1,3.96,3.93,7.31,0,0
2025-03-04,2025-03,5.35,7.5,1.5,-0.1,7.22,0,0
2025-03-05,2025-03,9.55,4.9,6.65,8.11,7.04,1,0
2025-03-06,2025-03,8.15,7.1,5.1,0.51,7.31,1,0
2025-03-07,2025-03,4.45,6.5,2.97,-0.36,6.89,1,0
2025-03-08,2025-03,5.65,5.1,3.46,0.58,7.02,0,0
2025-03-09,2025-03,8.5,5.0,6.26,2.82,6.86,0,0
2025-03-10,2025-03,6.6,6.4,3.68,2.03,7.11,1,0
2025-03-11,2025-03,6.25,8.5,4.43,1.43,8.07,1,0
2025-03-12,2025-03,8.4,7.4,5.37,5.7,7.96,0,0
2025-03-13,2025-03,9.95,7.1,5.95,5.02,8.15,1,0
2025-03-14,2025-03,11.15,4.7,7.72,7.45,8.89,0,0
2025-03-15,2025-03,4.9,5.4,3.32,1.69,9.79,1,0
2025-03-16,2025-03,9.8,8.6,6.11,6.16,9.74,0,0
2025-03-17,2025-03,11.8,8.8,9.46,5.58,10.02,0,0
2025-03-18,2025-03,12.5,6.8,9.31,9.83,9.47,0,0
2025-03-19,2025-03,8.1,6.0,5.28,2.99,10.64,0,0
2025-03-20,2025-03,11.9,4.6,9.91,6.92,10.38,0,0
2025-03-21,2025-03,7.3,4.6,3.22,3.45,9.99,1,0
2025-03-22,2025-03,13.05,9.3,7.56,8.8,9.65,1,0
2025-03-23,2025-03,8.0,7.0,3.46,3.76,9.54,0,0
2025-03-24,2025-03,9.05,4.5,8.18,7.58,9.34,0,0
2025-03-25,2025-03,10.15,5.1,6.09,6.72,9.6,1,0
2025-03-26,2025-03,7.3,7.8,5.0,3.49,8.84,0,0
2025-03-27,2025-03,10.5,9.4,7.2,6.37,8.76,1,0
2025-03-28,2025-03,9.15,8.1,7.37,5.17,8.97,0,0
2025-03-29,2025-03,7.7,5.2,5.3,4.34,9.19,1,0
2025-03-30,2025-03,7.5,8.2,4.82,4.82,10.09,0,0
2025-03-31,2025-03,10.5,8.0,6.66,7.14,9.81,0,0
2025-04-01,2025-04,11.7,8.4,6.64,6.88,10.33,1,0
2025-04-02,2025-04,13.55,8.5,9.42,10.17,11.44,0,0
2025-04-03,2025-04,8.6,4.2,2.78,3.38,11.81,1,0
2025-04-04,2025-04,12.75,6.5,7.77,9.22,12.06,1,0
2025-04-05,2025-04,15.45,8.7,8.92,11.99,12.06,1,0
2025-04-06,2025-04,10.1,9.2,6.4,7.25,12.01,0,0
2025-04-07,2025-04,12.25,5.9,7.41,8.69,12.91,0,0
2025-04-08,2025-04,11.7,7.2,7.2,6.44,13.16,0,0
2025-04-09,2025-04,13.2,7.2,8.88,9.1,12.93,1,0
2025-04-10,2025-04,14.9,8.0,12.02,11.35,12.91,0,0
2025-04-11,2025-04,14.5,5.4,5.8,11.4,13.03,0,0
2025-04-12,2025-04,13.85,6.9,8.28,11.51,13.11,1,0
2025-04-13,2025-04,10.0,4.8,7.21,5.93,13.24,1,0
2025-04-15,2025-04,13.05,4.1,6.37,10.75,13.69,1,0
2025-04-16,2025-04,12.25,7.5,7.35,6.63,13.61,1,0
2025-04-17,2025-04,14.1,6.8,9.81,12.36,13.99,0,0
2025-04-18,2025-04,18.05,5.9,14.52,17.38,14.42,0,0
2025-04-19,2025-04,13.95,7.1,11.2,11.2,14.89,1,0
2025-04-20,2025-04,16.55,5.1,11.08,13.67,15.24,1,0
2025-04-21,2025-04,13.0,5.0,9.59,9.67,15.49,0,0
2025-04-22,2025-04,16.35,7.9,11.52,15.17,14.58,0,0
2025-04-23,2025-04,14.7,8.0,11.58,12.16,13.94,1,0
2025-04-24,2025-04,15.85,6.3,10.47,14.06,13.41,1,0
2025-04-25,2025-04,11.65,4.9,8.24,7.74,13.83,0,0
2025-04-26,2025-04,9.45,5.9,6.66,6.15,13.9,0,0
2025-04-27,2025-04,12.9,4.4,10.75,8.47,14.0,0,0
2025-04-28,2025-04,15.9,6.4,11.65,13.05,14.0,0,0
2025-04-29,2025-04,16.85,5.3,9.88,13.4,14.64,0,0
2025-04-30,2025-04,15.4,9.0,9.1,11.07,15.57,0,0
2025-05-01,2025-05,15.85,6.9,10.38,10.83,16.26,0,0
2025-05-02,2025-05,16.15,4.9,11.3,12.62,16.23,0,0
2025-05-03,2025-05,15.95,7.3,11.07,13.81,16.53,0,0
2025-05-04,2025-05,17.75,6.9,14.93,13.99,16.9,0,0
2025-05-05,2025-05,15.65,9.1,9.91,12.52,16.6,0,0
2025-05-06,2025-05,18.95,8.3,13.5,18.51,16.55,0,0
2025-05-07,2025-05,18.0,6.4,13.19,16.35,16.52,0,0
2025-05-08,2025-05,13.75,8.1,8.69,11.63,16.26,0,0
2025-05-09,2025-05,15.8,6.4,13.1,12.92,16.16,1,0
2025-05-10,2025-05,15.75,9.3,8.95,11.11,15.81,1,0
2025-05-11,2025-05,15.9,6.2,10.2,10.3,15.58,0,0
2025-05-12,2025-05,15.0,9.4,10.66,14.08,16.66,0,0
2025-05-13,2025-05,16.45,7.5,11.59,15.35,16.76,0,0
2025-05-14,2025-05,16.4,7.6,12.3,13.38,17.09,0,0
2025-05-15,2025-05,21.35,9.1,15.85,19.29,17.33,1,0
2025-05-16,2025-05,16.5,8.0,13.77,13.08,16.99,1,0
2025-05-17,2025-05,18.05,7.5,10.48,13.78,17.29,1,0
2025-05-18,2025-05,17.55,4.3,13.08,14.25,17.24,0,0
2025-05-19,2025-05,12.6,8.0,8.52,9.89,17.57,0,0
2025-05-20,2025-05,18.6,6.2,14.14,16.43,17.23,0,0
2025-05-22,2025-05,16.05,4.3,12.46,13.12,17.06,1,0
2025-05-23,2025-05,23.65,8.5,17.34,24.22,16.73,1,0
2025-05-24,2025-05,14.1,7.2,9.53,10.66,17.94,0,0
2025-05-25,2025-05,16.85,4.1,12.81,12.28,18.66,0,0
2025-05-26,2025-05,15.25,5.5,10.46,10.56,18.59,1,0
2025-05-27,2025-05,21.1,4.4,13.2,18.64,18.01,1,0
2025-05-28,2025-05,23.6,5.6,15.27,22.03,18.2,0,0
2025-05-29,2025-05,15.6,6.2,11.4,13.05,18.89,0,0
2025-05-30,2025-05,19.6,8.8,14.3,18.87,19.34,1,0
2025-05-31,2025-05,15.4,7.4,9.59,11.66,19.04,0,0
2025-06-01,2025-06,21.7,7.0,14.02,20.66,18.31,0,0
2025-06-02,2025-06,18.35,7.9,12.06,16.71,18.72,0,0
2025-06-03,2025-06,19.05,5.1,13.88,18.08,19.02,0,0
2025-06-04,2025-06,18.5,6.0,13.27,18.0,19.18,0,0
2025-06-05,2025-06,18.45,6.3,12.92,15.99,18.69,1,0
2025-06-06,2025-06,21.7,4.0,17.87,22.36,18.41,0,0
2025-06-07,2025-06,16.5,8.2,11.66,14.63,18.1,0,0
2025-06-08,2025-06,18.25,4.5,13.01,15.59,18.28,0,0
2025-06-09,2025-06,16.45,7.3,12.02,12.22,18.48,1,0
2025-06-10,2025-06,16.85,7.1,12.43,14.16,17.91,0,0
2025-06-11,2025-06,19.75,5.7,15.37,18.72,18.04,1,0
2025-06-12,2025-06,19.85,4.1,16.43,18.02,18.52,0,0
2025-06-13,2025-06,17.75,5.1,10.94,13.99,18.81,1,0
2025-06-14,2025-06,17.4,4.0,12.23,16.96,19.5,0,0
2025-06-15,2025-06,21.6,9.4,16.29,21.29,19.31,0,0
2025-06-16,2025-06,18.5,6.4,13.54,16.83,19.15,0,0
2025-06-17,2025-06,21.65,4.3,14.22,22.23,19.44,1,0
2025-06-18,2025-06,18.45,4.7,11.58,15.19,19.81,1,0
2025-06-19,2025-06,18.7,5.4,11.34,16.4,19.5,0,0
2025-06-20,2025-06,19.8,5.6,12.69,18.61,19.41,1,0
2025-06-21,2025-06,19.95,6.7,14.29,18.51,18.05,0,0
2025-06-22,2025-06,19.45,7.1,14.29,18.09,17.68,1,0
2025-06-23,2025-06,17.9,6.0,12.22,17.11,17.02,0,0
2025-06-24,2025-06,12.1,5.4,6.48,8.87,17.55,1,0
2025-06-25,2025-06,15.85,6.9,8.82,12.49,16.86,1,0
2025-06-26,2025-06,14.1,6.4,8.71,9.9,16.39,0,0
2025-06-27,2025-06,23.5,7.6,19.02,23.59,16.9,1,0
2025-06-28,2025-06,15.1,7.4,11.08,11.19,18.39,0,0
2025-06-29,2025-06,16.2,8.0,10.91,13.45,19.16,0,0
2025-06-30,2025-06,21.45,6.7,13.73,18.83,19.37,1,0
2025-07-01,2025-07,22.5,4.6,16.31,19.11,18.46,1,0
2025-07-02,2025-07,21.25,9.1,16.42,20.27,19.02,0,0
2025-07-03,2025-07,15.6,8.8,10.46,12.51,19.46,1,0
2025-07-04,2025-07,17.1,8.6,10.33,13.07,19.06,0,0
2025-07-05,2025-07,19.05,5.1,12.73,17.58,18.74,0,0
2025-07-06,2025-07,19.3,8.8,12.29,16.33,18.12,1,0
2025-07-07,2025-07,18.65,5.3,13.24,16.8,18.84,1,0
2025-07-08,2025-07,20.25,5.7,17.09,20.24,19.42,0,0
2025-07-09,2025-07,16.9,9.0,12.48,14.71,18.91,1,0
2025-07-10,2025-07,20.6,7.2,13.57,18.22,18.63,0,0
2025-07-11,2025-07,21.2,7.2,14.96,18.47,18.59,0,0
2025-07-12,2025-07,15.5,9.0,8.97,11.72,18.29,1,0
2025-07-13,2025-07,17.3,8.0,11.42,12.61,18.3,1,0
2025-07-14,2025-07,18.4,4.6,13.7,16.34,17.78,1,0
2025-07-15,2025-07,18.15,5.1,13.81,14.0,18.21,0,0
2025-07-16,2025-07,16.95,7.9,9.85,13.71,18.66,0,0
2025-07-17,2025-07,16.95,4.3,14.23,13.26,18.37,1,0
2025-07-18,2025-07,24.25,8.3,18.12,22.26,17.94,1,0
2025-07-19,2025-07,18.6,4.4,11.34,15.21,18.21,1,0
2025-07-20,2025-07,15.3,6.0,10.2,13.1,18.18,0,0
2025-07-22,2025-07,15.4,8.8,9.01,11.9,18.56,0,0
2025-07-23,2025-07,20.05,5.1,14.84,18.34,17.49,0,0
2025-07-24,2025-07,16.7,6.2,12.3,13.97,17.36,0,0
2025-07-25,2025-07,19.65,5.3,14.39,17.78,17.91,0,0
2025-07-26,2025-07,16.7,5.8,14.45,13.36,18.49,0,0
2025-07-27,2025-07,17.7,4.2,14.13,14.13,17.56,1,0
2025-07-28,2025-07,19.15,5.9,10.08,14.9,17.67,0,0
2025-07-29,2025-07,19.45,5.9,12.48,15.94,17.25,0,0
